dataset,test_id,test_status,related_test_id,related_test_result,agency,platform,instrument_type,instrument_model,instrument_serial_number,instrument_latitude,instrument_longitude,datetime,table,table_index,element,profile,test_category,function,function_parameter_a,function_parameter_b,function_parameter_c,test_results,test_description
ozonesonde,1,1,,,,,,,,,,,AUXILIARY_DATA,,PumpRate,0,presence,PR_1,,,,-1|100,
ozonesonde,2,1,1,100,,,,,,,,,AUXILIARY_DATA,,PumpRate,0,range,RC_1,0.25,0.35,,0|100,
ozonesonde,3,1,,,,,,,,,,,PREFLIGHT_SUMMARY,,OzoneSondeResponseTime,0,presence,PR_1,,,,-1|100,
ozonesonde,4,1,3,100,,,,,,,,,PREFLIGHT_SUMMARY,,OzoneSondeResponseTime,0,range,RC_1,10,40,,0|100,
ozonesonde,5,1,,,,,,,,,,,AUXILIARY_DATA,,Ib0,0,presence,PR_1,,,,-1|100,
ozonesonde,6,1,5,100,,,,,,,,,AUXILIARY_DATA,,Ib0,0,range,RC_1,0,0.17,,0|100,
ozonesonde,7,1,,,,,,,,,,,AUXILIARY_DATA,,Ib1,0,presence,PR_1,,,,-1|100,
ozonesonde,8,1,7,100,,,,,,,,,AUXILIARY_DATA,,Ib1,0,range,RC_1,0,0.17,,0|100,
ozonesonde,9,1,,,,,,,,,,,AUXILIARY_DATA,,Ib2,0,presence,PR_1,,,,-1|100,
ozonesonde,10,1,9,100,,,,,,,,,AUXILIARY_DATA,,Ib2,0,range,RC_1,0,0.17,,0|100,
ozonesonde,11,1,,,,,,,,,,,PUMP_SETTINGS,,MotorCurrent,0,presence,PR_1,,,,-1|100,
ozonesonde,12,1,11,100,,,,,,,,,PUMP_SETTINGS,,MotorCurrent,0,range,RC_6,100,,,0|100,
ozonesonde,13,1,,,,,,,,,,,FLIGHT_SUMMARY,,IntegratedO3,0,presence,PR_1,,,,-1|100,
ozonesonde,14,1,13,100,,,,,,,,,FLIGHT_SUMMARY,,IntegratedO3,0,range,PR_1,0,600,,0|100,
ozonesonde,15,1,,,,,,,,,,,FLIGHT_SUMMARY,,SondeTotalO3,0,presence,PR_1,,,,-1|100,
ozonesonde,16,1,15,100,,,,,,,,,FLIGHT_SUMMARY,,SondeTotalO3,0,range,RC_1,200,600,,0|100,
ozonesonde,17,1,15,100,,,,,,,,,FLIGHT_SUMMARY,,SondeTotalO3,0,range,RC_1,200,500,,0|100,
ozonesonde,18,1,15,100,,,,,,,,,FLIGHT_SUMMARY,,SondeTotalO3,0,range,RC_1,80,600,,0|100,
ozonesonde,19,1,,,,,,,,,,,PUMP_CORRECTION,,PumpCorrectionFactor,0,presence,PR_1,,,,-1|100,
ozonesonde,20,1,19,100,,,,,,,,,PUMP_CORRECTION,,PumpCorrectionFactor,0,range,RC_1,0.6,1.8,,0|100,
ozonesonde,21,1,19,100,,,,,,,,,PUMP_CORRECTION,,PumpCorrectionFactor,0,range,RC_1,0.4,2,,0|100,
ozonesonde,22P,1,,,,,,,,,,,PROFILE,,GPHeight,1,presence,PR_1,,,,-1|100,
ozonesonde,23P,1,22P,100,,,,,,,,,PROFILE,,GPHeight,1,step,TS_2,10,,,0|100,
ozonesonde,24P,1,,,,,,,,,,,PROFILE,,Pressure,1,presence,PR_1,,,,-1|100,
ozonesonde,25P,1,23P,100,,,,,,,,,PROFILE,,Pressure,1,range,RC_5,20,,,0|100,
ozonesonde,26,1,,,,,,,,,,,PROFILE,,O3PartialPressure,1,presence,PR_1,,,,-1|100,
ozonesonde,27,1,"23P,25P,26","100,100,100",,,,,,,,,PROFILE,,O3PartialPressure,1,step,TS_2,0.5,,,0|100,
ozonesonde,28,1,26,100,,,,,,,,,PROFILE,,O3PartialPressure,1,step,TP_0,0,,,0|100,
ozonesonde,29P,1,24P,100,,,,,,,,,PROFILE,,Pressure,1,range,RC_1,0,250,,0|100,
ozonesonde,30,1,"26,29P","100,100",,,,,,,,,PROFILE,,O3PartialPressure,1,range,RC_1,0,20,,0|100,
ozonesonde,31P,1,24P,100,,,,,,,,,PROFILE,,Pressure,1,range,RC_1,20,250,,0|100,
ozonesonde,32,1,"26,31P","100,100",,,,,,,,,PROFILE,,O3PartialPressure,1,range,RC_1,0,35,,0|100,
ozonesonde,33P,1,24P,100,,,,,,,,,PROFILE,,Pressure,1,range,RC_5,20,,,0|100,
ozonesonde,34P,1,,,,,,,,,,,PROFILE,,derived:VMR,1,presence,,,,,-1|100,
ozonesonde,25,1,"33P,34P","100,100",,,,,,,,,PROFILE,,derived:VMR,1,range,RC_1,3,9,,0|100,
totalozone,35,1,,,,,,,,,,,DAILY,,ColumnO3,1,range,RC_1,100,700,,0|100,
spectral,36,1,,,,,,,,,,,GLOBAL_SUMMARY,all,Flag,,range,RC_1,0,100,,0|100,
